GPU: -1
# unit: 1000
# Minibatch-size: 100
# epoch: 20

epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.25418     0.077619              0.926917       0.977                     46.5292       
2           0.0741515   0.0465529             0.9776         0.9857                    93.5925       
3           0.0547892   0.0410511             0.983617       0.9878                    140.71        
4           0.0440958   0.0417978             0.986867       0.9866                    186.519       
5           0.0369601   0.0361394             0.988333       0.9888                    232.337       
6           0.0306317   0.0347642             0.990417       0.9899                    277.262       
7           0.0266872   0.0334437             0.991717       0.9899                    322.477       
8           0.0224259   0.0296476             0.99305        0.9909                    367.954       
9           0.0203639   0.0395174             0.993383       0.989                     413.1         
10          0.0173994   0.0332891             0.994817       0.9892                    459.558       
11          0.0151465   0.0287587             0.995033       0.9917                    504.71        
12          0.0126923   0.0283131             0.996133       0.9913                    549.152       
13          0.0120933   0.0313952             0.996267       0.9903                    593.888       
14          0.00986806  0.0407288             0.99705        0.9891                    639.343       
15          0.00823297  0.0431843             0.997433       0.9883                    685.498       
16          0.00817381  0.0348697             0.99755        0.9901                    729.545       
17          0.00727121  0.0343449             0.997717       0.99                      773.178       
18          0.00593882  0.0400837             0.998333       0.9892                    817.075       
19          0.00451055  0.0368894             0.998783       0.9909                    860.622       
20          0.00493144  0.0410584             0.9984         0.9895                    904.409       
save the trained model: result/CNN.model
